n,m,H,seed,mean_restricted_agent_first_episode,all_agent_restricted_first_episode,censored_agents,mean_error_final_preupdate,mean_proxy_half,mean_proxy_end,unique_actions,rho_global
3,8,4,50015,55.0,99.0,0,0.0,98.54305567449926,98.54305567449926,1,0.0011696097542561734
3,8,4,50016,93.66666666666667,132.0,0,0.0,218.34459096308615,218.34459096308615,1,0.0011696097542561734
3,8,4,50017,71.0,117.0,0,0.0,140.18489597641624,140.18489597641624,1,0.0011696097542561734
3,8,4,50018,83.0,149.0,0,0.0,176.49798208280208,176.49798208280208,1,0.0011696097542561734
3,8,4,50019,56.333333333333336,61.0,0,0.0,111.80132470415015,111.80132470415015,1,0.0011696097542561734
3,8,4,50020,77.33333333333333,105.0,0,0.0,274.56196153493994,274.56196153493994,1,0.0011696097542561734
3,8,4,50021,49.0,67.0,0,0.0,129.5290383441695,129.5290383441695,1,0.0011696097542561734
3,8,4,50022,84.33333333333333,128.0,0,0.0,225.15925921218886,225.15925921218886,1,0.0011696097542561734
3,8,4,50023,62.666666666666664,82.0,0,0.0,111.23211059948558,111.23211059948558,1,0.0011696097542561734
3,8,4,50024,60.333333333333336,84.0,0,0.0,192.42800430705802,192.42800430705802,1,0.0011696097542561734
3,8,4,50025,91.33333333333333,169.0,0,0.0,223.33243904652952,223.33243904652952,1,0.0011696097542561734
3,8,4,50026,62.0,73.0,0,0.0,128.24534522106285,128.24534522106285,1,0.0011696097542561734
3,8,4,50027,40.0,58.0,0,0.0,119.80569444752454,119.80569444752454,1,0.0011696097542561734
3,8,4,50028,53.0,60.0,0,0.0,169.2008606581505,169.2008606581505,1,0.0011696097542561734
3,8,4,50029,60.666666666666664,71.0,0,0.0,145.6258005864637,145.6258005864637,1,0.0011696097542561734
3,8,4,50030,50.333333333333336,68.0,0,0.0,112.20134049213006,112.20134049213006,1,0.0011696097542561734
3,8,4,50031,72.0,77.0,0,0.0,192.336628674712,192.336628674712,1,0.0011696097542561734
3,8,4,50032,101.66666666666667,134.0,0,0.0,288.1418841661219,288.1418841661219,1,0.0011696097542561734
3,8,4,50033,54.0,54.0,0,0.0,113.60352116834072,113.60352116834072,1,0.0011696097542561734
3,8,4,50034,71.0,114.0,0,0.0,168.10262529935596,168.10262529935596,1,0.0011696097542561734
3,8,4,50035,49.333333333333336,71.0,0,0.0,410.0125521324333,410.0125521324333,1,0.0011696097542561734
3,8,4,50036,46.0,68.0,0,0.0,98.75806384670334,98.75806384670334,1,0.0011696097542561734
3,8,4,50037,51.0,81.0,0,0.0,83.61906764299592,83.61906764299592,1,0.0011696097542561734
3,8,4,50038,48.333333333333336,100.0,0,0.0,98.79581986960308,98.79581986960308,1,0.0011696097542561734
3,8,4,50039,55.666666666666664,59.0,0,0.0,177.25035017179275,177.25035017179275,1,0.0011696097542561734
3,8,4,50040,101.0,193.0,0,0.0,183.04618710084688,183.04618710084688,1,0.0011696097542561734
3,8,4,50041,94.0,121.0,0,0.0,222.18595221493342,222.18595221493342,1,0.0011696097542561734
3,8,4,50042,55.666666666666664,59.0,0,0.0,110.30727662805896,110.30727662805896,1,0.0011696097542561734
3,8,4,50043,85.0,123.0,0,0.0,209.6379877564506,209.6379877564506,1,0.0011696097542561734
3,8,4,50044,72.0,79.0,0,0.0,178.2557794931331,178.2557794931331,1,0.0011696097542561734
3,8,4,50045,69.0,88.0,0,0.0,139.69008639301535,139.69008639301535,1,0.0011696097542561734
3,8,4,50046,56.0,89.0,0,0.0,146.9737840244609,146.9737840244609,1,0.0011696097542561734
3,8,4,50047,64.0,96.0,0,0.0,151.4940702834081,151.4940702834081,1,0.0011696097542561734
3,8,4,50048,48.666666666666664,77.0,0,0.0,100.02022449548213,100.02022449548213,1,0.0011696097542561734
3,8,4,50049,57.333333333333336,68.0,0,0.0,112.21683953204634,112.21683953204634,1,0.0011696097542561734
3,8,4,50050,101.33333333333333,175.0,0,0.0,240.5466752473072,240.5466752473072,1,0.0011696097542561734
3,8,4,50051,120.33333333333333,268.0,0,0.0,411.40151028296935,411.40151028296935,1,0.0011696097542561734
3,8,4,50052,50.0,68.0,0,0.0,95.15252089780853,95.15252089780853,1,0.0011696097542561734
3,8,4,50053,56.333333333333336,73.0,0,0.0,113.6559252771666,113.6559252771666,1,0.0011696097542561734
3,8,4,50054,100.66666666666667,159.0,0,0.0,247.14279713256715,247.14279713256715,1,0.0011696097542561734
3,8,4,50055,62.0,72.0,0,0.0,123.20660426706577,123.20660426706577,1,0.0011696097542561734
3,8,4,50056,80.33333333333333,104.0,0,0.0,164.6324410360348,164.6324410360348,1,0.0011696097542561734
3,8,4,50057,50.0,86.0,0,0.0,111.02059982560525,111.02059982560525,1,0.0011696097542561734
3,8,4,50058,26.333333333333332,53.0,0,0.0,116.31036095367138,116.31036095367138,1,0.0011696097542561734
3,8,4,50059,92.66666666666667,130.0,0,0.0,219.19458780220216,219.19458780220216,1,0.0011696097542561734
3,8,4,50060,32.333333333333336,57.0,0,0.0,63.02380030712808,63.02380030712808,1,0.0011696097542561734
3,8,4,50061,52.0,90.0,0,0.0,133.70331709747975,133.70331709747975,1,0.0011696097542561734
3,8,4,50062,66.33333333333333,77.0,0,0.0,178.64589480931946,178.64589480931946,1,0.0011696097542561734
3,8,4,50063,70.33333333333333,80.0,0,0.0,141.97505164089122,141.97505164089122,1,0.0011696097542561734
3,8,4,50064,58.0,63.0,0,0.0,112.7352137472925,112.7352137472925,1,0.0011696097542561734
3,8,4,50065,69.33333333333333,76.0,0,0.0,151.48572470680298,151.48572470680298,1,0.0011696097542561734
3,8,4,50066,75.66666666666667,118.0,0,0.0,211.47307821123547,211.47307821123547,1,0.0011696097542561734
3,8,4,50067,70.33333333333333,91.0,0,0.0,211.78788533333864,211.78788533333864,1,0.0011696097542561734
3,8,4,50068,36.666666666666664,52.0,0,0.0,80.18736375587697,80.18736375587697,1,0.0011696097542561734
3,8,4,50069,54.0,67.0,0,0.0,101.64014848766156,101.64014848766156,1,0.0011696097542561734
3,8,4,50070,69.33333333333333,86.0,0,0.0,114.21071151476472,114.21071151476472,1,0.0011696097542561734
3,8,4,50071,41.666666666666664,88.0,0,0.0,112.83756940460222,112.83756940460222,1,0.0011696097542561734
3,8,4,50072,58.333333333333336,66.0,0,0.0,139.02733426738624,139.02733426738624,1,0.0011696097542561734
3,8,4,50073,63.0,77.0,0,0.0,134.08788018564573,134.08788018564573,1,0.0011696097542561734
3,8,4,50074,71.66666666666667,92.0,0,0.0,145.5053792325244,145.5053792325244,1,0.0011696097542561734
3,8,4,50075,63.0,94.0,0,0.0,104.1046426383378,104.1046426383378,1,0.0011696097542561734
3,8,4,50076,84.33333333333333,106.0,0,0.0,189.99306540499802,189.99306540499802,1,0.0011696097542561734
3,8,4,50077,84.0,105.0,0,0.0,198.3565470390337,198.3565470390337,1,0.0011696097542561734
3,8,4,50078,29.666666666666668,53.0,0,0.0,54.43341922468971,54.43341922468971,1,0.0011696097542561734
3,8,4,50079,87.33333333333333,128.0,0,0.0,159.43105357588215,159.43105357588215,1,0.0011696097542561734
3,8,4,50080,113.66666666666667,200.0,0,0.0,245.68009476291527,245.68009476291527,1,0.0011696097542561734
3,8,4,50081,62.333333333333336,112.0,0,0.0,143.9260469670713,143.9260469670713,1,0.0011696097542561734
3,8,4,50082,46.0,65.0,0,0.0,124.03877399377352,124.03877399377352,1,0.0011696097542561734
3,8,4,50083,68.66666666666667,99.0,0,0.0,149.46792362713154,149.46792362713154,1,0.0011696097542561734
3,8,4,50084,58.0,63.0,0,0.0,132.0302325865813,132.0302325865813,1,0.0011696097542561734
