phase,H,n,m,seed,agent,true_type,first_turn,censored,rho_action,first_episode
type_horizon,1,3,4,2102,2,3,3.0,False,0.07433819726669055,3
type_horizon,1,3,4,2103,0,0,11.0,False,0.07433819726669055,11
type_horizon,1,3,4,2103,1,3,4.0,False,0.07433819726669055,4
type_horizon,1,3,4,2103,2,3,9.0,False,0.07433819726669055,9
type_horizon,1,3,4,2104,0,2,6.0,False,0.07433819726669055,6
type_horizon,1,3,4,2104,1,1,6.0,False,0.07433819726669055,6
type_horizon,1,3,4,2104,2,0,3.0,False,0.07433819726669055,3
type_horizon,1,3,4,2105,0,2,4.0,False,0.07433819726669055,4
type_horizon,1,3,4,2105,1,2,6.0,False,0.07433819726669055,6
type_horizon,1,3,4,2105,2,0,3.0,False,0.07433819726669055,3
type_horizon,1,3,4,2106,0,0,1.0,False,0.07433819726669055,1
type_horizon,1,3,4,2106,1,3,1.0,False,0.07433819726669055,1
type_horizon,1,3,4,2106,2,2,5.0,False,0.07433819726669055,5
type_horizon,1,3,4,2107,0,3,2.0,False,0.07433819726669055,2
type_horizon,1,3,4,2107,1,1,6.0,False,0.07433819726669055,6
type_horizon,1,3,4,2107,2,2,4.0,False,0.07433819726669055,4
type_horizon,1,3,4,2108,0,1,17.0,False,0.07433819726669055,17
type_horizon,1,3,4,2108,1,0,3.0,False,0.07433819726669055,3
type_horizon,1,3,4,2108,2,2,4.0,False,0.07433819726669055,4
type_horizon,1,3,4,2109,0,2,5.0,False,0.07433819726669055,5
type_horizon,1,3,4,2109,1,3,3.0,False,0.07433819726669055,3
type_horizon,1,3,4,2109,2,1,14.0,False,0.07433819726669055,14
type_horizon,1,3,4,2110,0,2,9.0,False,0.07433819726669055,9
type_horizon,1,3,4,2110,1,0,3.0,False,0.07433819726669055,3
type_horizon,1,3,4,2110,2,3,2.0,False,0.07433819726669055,2
type_horizon,1,3,4,2111,0,2,3.0,False,0.07433819726669055,3
type_horizon,1,3,4,2111,1,0,5.0,False,0.07433819726669055,5
type_horizon,1,3,4,2111,2,3,3.0,False,0.07433819726669055,3
type_horizon,1,3,4,2112,0,1,9.0,False,0.07433819726669055,9
type_horizon,1,3,4,2112,1,0,19.0,False,0.07433819726669055,19
type_horizon,1,3,4,2112,2,0,6.0,False,0.07433819726669055,6
type_horizon,1,3,4,2113,0,3,5.0,False,0.07433819726669055,5
type_horizon,1,3,4,2113,1,3,6.0,False,0.07433819726669055,6
type_horizon,1,3,4,2113,2,0,4.0,False,0.07433819726669055,4
type_horizon,1,3,4,2114,0,2,5.0,False,0.07433819726669055,5
type_horizon,1,3,4,2114,1,3,1.0,False,0.07433819726669055,1
type_horizon,1,3,4,2114,2,1,12.0,False,0.07433819726669055,12
type_horizon,1,3,4,2115,0,1,32.0,False,0.07433819726669055,32
type_horizon,1,3,4,2115,1,2,4.0,False,0.07433819726669055,4
type_horizon,1,3,4,2115,2,2,4.0,False,0.07433819726669055,4
type_horizon,1,3,4,2116,0,0,14.0,False,0.07433819726669055,14
type_horizon,1,3,4,2116,1,2,7.0,False,0.07433819726669055,7
type_horizon,1,3,4,2116,2,0,8.0,False,0.07433819726669055,8
type_horizon,1,3,4,2117,0,1,8.0,False,0.07433819726669055,8
type_horizon,1,3,4,2117,1,0,16.0,False,0.07433819726669055,16
type_horizon,1,3,4,2117,2,3,3.0,False,0.07433819726669055,3
type_horizon,1,3,4,2118,0,1,9.0,False,0.07433819726669055,9
